ell,residuals,osc_fit
126,7.730063406279401e-15,-1.5788041563698392e-16
127,3.0822346889526456e-14,1.4127427039964929e-14
128,5.4028600382482104e-14,2.8381543364387393e-14
129,7.729035573892352e-14,4.2568753265963097e-14
130,1.0054852039870845e-13,5.665350909459239e-14
131,1.237435261358196e-13,7.06005199103786e-14
132,1.4681548026559125e-13,8.437483990904812e-14
133,1.6970431893098316e-13,9.794195598259217e-14
134,1.9234996207873933e-13,1.1126787419574163e-13
135,2.1469246972911505e-13,1.2431920496159505e-13
136,2.366721991358181e-13,1.3706324670298415e-13
137,2.5822996242741473e-13,1.4946806778995324e-13
138,2.7930718431692574e-13,1.6150258654805034e-13
139,2.9984605946273454e-13,1.7313664913695726e-13
140,3.1978970906183154e-13,1.843411051043287e-13
141,3.390823362547244e-13,1.950878804255293e-13
142,3.5766937992158457e-13,2.0535004784625949e-13
143,3.754976664501797e-13,2.1510189435182074e-13
144,3.9251555905784534e-13,2.243189855939647e-13
145,4.086731042536033e-13,2.329782271139017e-13
146,4.239221750304152e-13,2.410579222080646e-13
147,4.382166103835193e-13,2.4853782629163993e-13
148,4.5151235075704934e-13,2.55399197623652e-13
149,4.637675690293832e-13,2.616248442665033e-13
150,4.749427966561381e-13,2.6719916716230703e-13
151,4.850010445999366e-13,2.7210819921808184e-13
152,4.939079186871735e-13,2.7633964030187385e-13
153,5.016317290439462e-13,2.7988288806212074e-13
154,5.081435932766125e-13,2.8272906449303626e-13
155,5.134175330764504e-13,2.8487103817945215e-13
156,5.174305639431117e-13,2.863034421653809e-13
157,5.20162777737499e-13,2.870226874015276e-13
158,5.215974177917436e-13,2.870269717380568e-13
159,5.217209463216329e-13,2.863162844400814e-13
160,5.205231039055559e-13,2.8489240621456026e-13
161,5.179969608132837e-13,2.827589047485367e-13
162,5.141389599883285e-13,2.799211257698971e-13
163,5.089489515078492e-13,2.763861796530484e-13
164,5.024302183662131e-13,2.72162923603076e-13
165,4.945894934495047e-13,2.6726193946301897e-13
166,4.854369675916443e-13,2.6169550719987347e-13
167,4.749862886248308e-13,2.554775741357532e-13
168,4.632545513612396e-13,2.4862372000130534e-13
169,4.502622784658668e-13,2.411511178989442e-13
170,4.360333922050684e-13,2.330784912737097e-13
171,4.2059517707888793e-13,2.2442606699957189e-13
172,4.0397823337018074e-13,2.1521552469872115e-13
173,3.862164216675808e-13,2.0546994242083884e-13
174,3.673467984440549e-13,1.9521373881844582e-13
175,3.474095427969983e-13,1.84472611963223e-13
176,3.264478744803877e-13,1.7327347495660358e-13
177,3.0450796338336984e-13,1.6164438849596788e-13
178,2.816388306336199e-13,1.4961449056541288e-13
179,2.578922415275484e-13,1.37213923427253e-13
180,2.333225905123684e-13,1.2447375809719303e-13
181,2.0798677846789372e-13,1.1142591649240477e-13
182,1.8194408255831585e-13,9.810309144757008e-14
183,1.5525601894554848e-13,8.453866479931022e-14
184,1.2798619867716813e-13,7.076662374423631e-14
185,1.0020017708203463e-13,5.682147568020691e-14
186,7.196529702635019e-14,4.273816174416303e-14
187,4.335052640176267e-14,2.855196926317609e-14
188,1.44262902349336e-14,1.4298443338084998e-14
189,-1.4735702174953824e-14,1.3297781244135652e-17
190,-4.4062634668335015e-14,-1.4267674368446366e-14
191,-7.348076574944843e-14,-2.850869052902893e-14
192,-1.0291561377149215e-13,-4.267406823277066e-14
193,-1.3229214531819374e-13,-5.672831453259815e-14
194,-1.615349663063779e-13,-7.063621493367185e-14
195,-1.9056851532303295e-13,-8.436292162725972e-14
196,-2.1931725870147351e-13,-9.787404080584482e-14
197,-2.47705886833349e-13,-1.11135718840677e-13
198,-2.7565951120628405e-13,-1.2411472710584603e-13
199,-3.0310386165197145e-13,-1.3677854523634437e-13
200,-3.299654832853261e-13,-1.4909544261149578e-13
201,-3.561719326128651e-13,-1.6103455785959747e-13
202,-3.816519722870455e-13,-1.7256597618455648e-13
203,-4.063357639839613e-13,-1.8366080432077488e-13
204,-4.301550588825524e-13,-1.9429124292847925e-13
205,-4.5304338522742163e-13,-2.0443065624809007e-13
206,-4.749362324610995e-13,-2.1405363883911576e-13
207,-4.957712314175217e-13,-2.231360792363401e-13
208,-5.154883300759495e-13,-2.3165522036380954e-13
209,-5.340299643829828e-13,-2.395897165552485e-13
210,-5.513412236601308e-13,-2.4691968703802477e-13
211,-5.673700101260331e-13,-2.536267657466637e-13
212,-5.820671920750836e-13,-2.596941473410889e-13
213,-5.953867502677198e-13,-2.6510662931429346e-13
214,-6.072859171036512e-13,-2.6985065008393054e-13
215,-6.177253081650697e-13,-2.7391432297238293e-13
216,-6.266690457351117e-13,-2.7728746599017154e-13
217,-6.340848739154067e-13,-2.7996162734807443e-13
218,-6.399442649868606e-13,-2.819301066340361e-13
219,-6.442225166784056e-13,-2.83187971601803e-13
220,-6.468988400313143e-13,-2.8373207052922135e-13
221,-6.479564375688653e-13,-2.8356104011523147e-13
222,-6.473825715060322e-13,-2.826753088957721e-13
223,-6.45168621757928e-13,-2.810770961700354e-13
224,-6.413101335321968e-13,-2.787704064397628e-13
225,-6.358068543161235e-13,-2.75761019375516e-13
226,-6.28662760096968e-13,-2.7205647533506206e-13
227,-6.198860706812705e-13,-2.676660564701591e-13
228,-6.09489254007308e-13,-2.6260076346908046e-13
229,-5.974890193732496e-13,-2.568732879931542e-13
230,-5.839062995328069e-13,-2.504979808763767e-13
231,-5.68766221639429e-13,-2.4349081616778464e-13
232,-5.520980670494608e-13,-2.3586935110667917e-13
233,-5.339352200246668e-13,-2.276526821309866e-13
234,-5.143151054038738e-13,-2.188613970289871e-13
235,-4.932791153436567e-13,-2.095175233542938e-13
236,-4.70872525257258e-13,-1.9964447323334045e-13
237,-4.471443991106146e-13,-1.8926698470366663e-13
238,-4.221474842634954e-13,-1.784110597299795e-13
239,-3.9593809607247965e-13,-1.6710389905331e-13
240,-3.685759925014653e-13,-1.5537383403649397e-13
241,-3.401242390125482e-13,-1.4325025567675704e-13
242,-3.1064906403832285e-13,-1.3076354096326693e-13
243,-2.80219705362824e-13,-1.1794497676416722e-13
244,-2.489082477644933e-13,-1.04826681433814e-13
245,-2.1678945230009852e-13,-9.144152433662322e-14
246,-1.8394057763213122e-13,-7.78230434891826e-14
247,-1.504411938264185e-13,-6.400536152698043e-14
248,-1.1637298906853876e-13,-5.002310020630102e-14
249,-8.181956976898323e-14,-3.591129365552417e-14
250,-4.6866254547478366e-14,-2.1705300593172204e-14
251,-1.1599862605482484e-14,-7.440715732667691e-15
252,2.3891502986320196e-14,6.846719404227963e-15
253,5.951867654214758e-14,2.1121206041815806e-14
254,9.519165499878156e-14,3.534697784831675e-14
255,1.3081982656471668e-13,4.948839055244217e-14
256,1.663122021970515e-13,6.351001125412063e-14
257,2.0157764931123758e-13,7.737670720561778e-14
258,2.365251271201161e-13,9.105373384058589e-14
259,2.7106392299067055e-13,1.0450682183048112e-13
260,3.051038892017688e-13,1.1770226295022408e-13
261,3.38555679480724e-13,1.3060699453794521e-13
262,3.7133098469489085e-13,1.431886823372061e-13
263,4.0334276707270315e-13,1.5541580151411423e-13
264,4.345054923299146e-13,1.672577156463389e-13
265,4.647353590783194e-13,1.7868475348611606e-13
266,4.939505248988529e-13,1.8966828330489343e-13
267,5.220713284665342e-13,2.0018078463335011e-13
268,5.490205071217802e-13,2.1019591721702462e-13
269,5.747234092918853e-13,2.1968858701478755e-13
270,5.991082011769993e-13,2.2863500907478314e-13
271,6.221060671273297e-13,2.3701276713030014e-13
272,6.436514031518861e-13,2.448008697662517e-13
273,6.636820030146924e-13,2.519798030155243e-13
274,6.821392363915769e-13,2.585315792534195e-13
275,6.989682185784769e-13,2.6443978226766935e-13
276,7.141179712628172e-13,2.6968960839110235e-13
277,7.275415738904023e-13,2.7426790359389817e-13
278,7.391963051828748e-13,2.78163196442487e-13
279,7.49043774385352e-13,2.8136572684251795e-13
280,7.570500418480713e-13,2.838674704938726e-13
281,7.631857285733189e-13,2.856621589964515e-13
282,7.674261143857806e-13,2.8674529555635574e-13
283,7.697512244130722e-13,2.871141662531099e-13
284,7.701459035930637e-13,2.867678468396949e-13
285,7.685998789545192e-13,2.85707205058353e-13
286,7.651078094494668e-13,2.8393489846636184e-13
287,7.59669323147078e-13,2.814553677772259e-13
288,7.522890416318779e-13,2.7827482573396956e-13
289,7.429765914823223e-13,2.7440124154240997e-13
290,7.31746602739054e-13,2.6984432090341665e-13
291,7.186186943070127e-13,2.646154816941852e-13
292,7.03617446269274e-13,2.587278253594623e-13
293,6.867723591252942e-13,2.5219610408440274e-13
294,6.681178000016173e-13,2.4503668383130913e-13
